material_id,material_description,hsn,gst_id,price,delete_status,created_at,updated_at,used_at,proforma_used_at,unit
1,"Item Code 10EE05217, Current Transducer 0 - 10 MA, AK 50 C10",8538,8,NULL,0,27-12-2017 07:47,NULL,NULL,NULL,
2,PU Bar Strip Yellow,NULL,8,NULL,0,27-12-2017 07:55,NULL,NULL,NULL,
4,Rubber sheet,NULL,8,NULL,0,27-12-2017 09:20,NULL,NULL,NULL,
5,FABRICATION AND ASSEMBLY OF BELT CONVEYOR AS PER DRG NO SCLB-03,84283300,8,NULL,0,28-12-2017 10:27,NULL,NULL,NULL,
6,FABRICATION AND ASSEMBLY OF BELT CONVEYOR AS PER DRG NO SCLB-06,84283300,8,NULL,0,28-12-2017 10:27,NULL,NULL,NULL,
9,"NX032TPNDI - Mains on / off SFU set 32 A, TPN",NULL,8,3010,0,29-12-2017 06:20,16-09-2019 11:46,NULL,NULL,
10,32NHG000 - Fuselink 32 A suitable for SFU,NULL,8,NULL,0,29-12-2017 06:20,NULL,NULL,NULL,
11,LAD9R1 - Mechanical interlock for contactors,NULL,8,1910,0,29-12-2017 06:20,01-07-2025 11:57,30-06-2025 10:50,NULL,
12,LAD9SD3 - LC1D40A - 65 A star delta kit includes timer LADS2 ( 15 - 30 sec ),NULL,8,19240,0,29-12-2017 06:20,20-11-2025 16:01,17-11-2025 13:00,NULL,
13,LRD 1512 - Tesys D Thermal overload 5.5 - 8 A Class 20,NULL,8,18540,0,29-12-2017 06:20,07-07-2025 16:13,02-07-2025 10:34,NULL,
14,"GV2 P20 - Motor CB Therm/Mag 24 - 32 A, Rotary handle",NULL,8,10035,0,29-12-2017 06:20,08-05-2024 05:14,NULL,NULL,
15,XB5AW36B5 - 24 V LED illuminated P.B. body Blue + Push button Blue + NO screw terminal contact,NULL,8,2229,0,29-12-2017 06:20,18-05-2022 06:52,NULL,NULL,
16,ZB4BS844 - Push button Emergency switching off - Red,NULL,8,1800,0,29-12-2017 06:20,06-08-2022 05:42,NULL,NULL,
17,ZB5AZ104 - PB body screw terminal 2 N/C,NULL,8,1282,0,29-12-2017 06:20,23-01-2025 12:06,22-01-2025 10:48,NULL,
18,ZB5AZ105 - PB body screw terminal 2 N/O + N/C,NULL,8,1552,0,29-12-2017 06:20,11-12-2020 03:57,NULL,NULL,
19,ZB4BD2 - Selector switch for auto/manual,NULL,8,1056,0,29-12-2017 06:20,20-12-2024 16:47,20-12-2024 12:34,NULL,
20,ZB5AZ101 - Screw terminal 2 contact,NULL,8,259,0,29-12-2017 06:20,01-11-2021 11:35,NULL,NULL,
21,"Fabrication & supply of 40 Tubes cooling elements for cooler (Thermal) 
Drawing no AA27437 & AA27438
Gaskets & Hardware considered in our scope
40 nos. Finned tubes will be supplied by you",NULL,8,NULL,0,30-12-2017 04:27,NULL,NULL,NULL,
22,"Spartan 205P pivotal continuous sand mixer,  4 way pneumatic sand blending gate, gammavator 3 vibrating attrition unit, G3 cooler classifier, PV3 pressure vessel, electrical control panel, set of 2 nos of 3"" NB pinch valves",8474,8,NULL,0,30-12-2017 06:25,NULL,NULL,NULL,
23,"Mixer shaft RHP bearing, non - drive end",8474,8,NULL,0,30-12-2017 08:59,NULL,NULL,NULL,
24,"Item code 6005B002
Tungsten tipped blades, 12 nos ( B 2476 - 039 )
Hold back blades, 4 nos ( H 8225 - 773 ) 
For 205 P mixer",8474,8,64125,0,30-12-2017 09:29,21-12-2019 10:43,NULL,NULL,
25,"Item code - NO1121081030005
Rossi make inline helical geared motor",8431,8,NULL,0,30-12-2017 10:44,NULL,NULL,NULL,
26,"Item code - NO1121081030010
Catalyst PP NRV with actuator, 110 VAC",8474,9,NULL,0,30-12-2017 10:44,NULL,NULL,NULL,
27,Item code - NO112081030011 - Resin chemical,8538,8,NULL,0,30-12-2017 10:44,NULL,NULL,NULL,
28,"SS 304 Heat Exchanger Body With SS
310 sand feed pipes, MS balance,damper and MS thermal drain valves.
Drawing no AA 58187",NULL,8,NULL,0,02-01-2018 04:26,NULL,NULL,NULL,
29,"MS cooler body ( 40 tubes cooler ) with MS balance dampers without cooling element.
Drawing no AA 27450",NULL,8,NULL,0,02-01-2018 04:26,NULL,NULL,NULL,
30,"Fabrication & supply of 40 Tubes cooling elements for cooler (Thermal) 
AA27437 & AA27438",NULL,8,NULL,0,02-01-2018 04:33,NULL,NULL,NULL,
31,"Cleve Lock nut, M 22",NULL,8,NULL,0,02-01-2018 05:34,NULL,NULL,NULL,
32,"Material code 8700000322 Lip pouring ladle, capacity 500 kg, ladle shell diameter 860 mm and shell height 850 mm",8454,8,NULL,0,02-01-2018 06:13,NULL,NULL,NULL,
33,"CP 101- 1/8"" Universal base",NULL,17,NULL,0,02-01-2018 11:20,NULL,NULL,NULL,
34,"CP 105 - 1/8"" Universal endplate to suit 1/8"" valve",NULL,17,10.3,0,02-01-2018 11:22,21-11-2024 10:00,NULL,NULL,
35,E 20161 - 5 Position Salzer switch,NULL,17,20.19,0,02-01-2018 11:22,28-05-2022 09:12,NULL,NULL,
36,"AK50C10 - LEM current transducer, 4 - 10 mA",NULL,17,1,0,03-01-2018 04:50,10-01-2024 01:53,NULL,NULL,
37,"Unifrax make ceramic fibre boards
Grade -   S 1260 Deg. C
Size - 1000 x 500 x 25 mm thk",8417,8,1340,0,03-01-2018 07:28,14-12-2022 09:23,NULL,NULL,
38,"Unifrax make ceramic fibre blankets
Grade -   S 1260 Deg. C
Density - 128 Kg/M3
Size - 7320 x 610 x 25",8417,8,3000,0,03-01-2018 07:28,09-05-2019 09:49,NULL,NULL,
39,Unifrax make ceramic fibre paper,NULL,8,NULL,0,03-01-2018 07:28,NULL,NULL,NULL,
40,"SNFT - 17 B - Conduit pipe, ID 16.5 mm, Black",NULL,8,NULL,0,04-01-2018 08:22,NULL,NULL,NULL,
41,"SNFT - 23 B - Conduit pipe, ID 23 mm, Black",NULL,8,NULL,0,04-01-2018 08:22,NULL,NULL,NULL,
42,"Catalyst Pump without motor for Furan system
Part :T 10034",8474,8,NULL,0,05-01-2018 04:52,NULL,NULL,NULL,
43,Ador contact tip 1.2 / M 8 mm ( set of 5 nos ),NULL,8,NULL,0,05-01-2018 06:27,NULL,NULL,NULL,
44,"Woven wire mesh, Spring steel, 8 mesh, 1.2 mm ( 18 Gauge ) wire dia
Size 4 Ft x 50 Ft",NULL,8,NULL,0,05-01-2018 06:56,NULL,NULL,NULL,
